epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1138.42,0.9842,0.71612,1.00687,0.91598,0.74359,0.83139,0.43917,1.65985,1.214,1.42053,0.0052876,0.0052876,0.0052876
121,1147.82,0.99746,0.73971,1.04949,0.97797,0.76923,0.87933,0.46469,1.64721,1.20098,1.40848,0.005248,0.005248,0.005248
122,1157.25,1.01585,0.74128,1.04175,0.88594,0.79487,0.85378,0.46296,1.64948,1.22933,1.39788,0.0052084,0.0052084,0.0052084
123,1166.65,1.05907,0.78646,1.05665,0.87803,0.79487,0.87017,0.47966,1.6522,1.25931,1.39545,0.0051688,0.0051688,0.0051688
124,1176.06,1.03185,0.78447,1.04168,1,0.6329,0.77586,0.44247,1.71529,1.47738,1.46223,0.0051292,0.0051292,0.0051292
125,1185.44,1.03656,0.75187,1.05887,0.8931,0.64274,0.74963,0.42225,1.76054,1.68374,1.50371,0.0050896,0.0050896,0.0050896
126,1194.88,0.98521,0.73491,1.02831,0.90609,0.74222,0.80283,0.40925,1.82136,1.50265,1.49955,0.00505,0.00505,0.00505
127,1204.26,1.00435,0.7549,1.03684,0.90907,0.79487,0.84198,0.42929,1.74275,1.39703,1.4328,0.0050104,0.0050104,0.0050104
128,1213.69,1.01668,0.76827,1.04872,0.95384,0.74359,0.84141,0.46971,1.63774,1.27216,1.39208,0.0049708,0.0049708,0.0049708
129,1223.1,1.00609,0.73183,1.03409,0.95445,0.74359,0.85784,0.47213,1.66926,1.23242,1.4233,0.0049312,0.0049312,0.0049312
130,1232.53,1.03352,0.77295,1.07122,0.90776,0.84615,0.8919,0.44988,1.7217,1.19769,1.43038,0.0048916,0.0048916,0.0048916
131,1241.95,0.92307,0.7126,1.00672,0.84241,0.82243,0.87412,0.48218,1.59877,1.11452,1.33917,0.004852,0.004852,0.004852
132,1251.38,0.94487,0.70222,1.03081,0.86807,0.8436,0.89571,0.46501,1.68663,1.11681,1.37083,0.0048124,0.0048124,0.0048124
133,1260.76,0.97002,0.70286,1.04117,0.86861,0.84757,0.89608,0.4686,1.70138,1.13547,1.39381,0.0047728,0.0047728,0.0047728
134,1270.18,0.92562,0.70184,1.01878,0.78101,0.84615,0.84171,0.43991,1.75752,1.17068,1.42357,0.0047332,0.0047332,0.0047332
135,1279.62,1.00292,0.71747,1.02326,0.90249,0.71795,0.84754,0.42318,1.74369,1.16735,1.4152,0.0046936,0.0046936,0.0046936
136,1289.06,0.96404,0.75307,1.02681,0.74926,0.79487,0.82712,0.43346,1.66265,1.15067,1.35987,0.004654,0.004654,0.004654
137,1298.49,0.97822,0.7138,1.02637,0.76514,0.83547,0.83726,0.43205,1.69636,1.16362,1.41788,0.0046144,0.0046144,0.0046144
138,1307.91,0.93033,0.67769,1.01474,0.72591,0.84615,0.86001,0.44966,1.66122,1.14809,1.38251,0.0045748,0.0045748,0.0045748
139,1317.34,0.91047,0.71312,1.01402,0.71806,0.78379,0.83972,0.42616,1.6864,1.19017,1.38377,0.0045352,0.0045352,0.0045352
140,1326.76,0.9527,0.70716,1.01486,0.75622,0.79487,0.89027,0.43201,1.70481,1.14787,1.39154,0.0044956,0.0044956,0.0044956
141,1336.13,0.92756,0.69907,1.02123,0.90498,0.73284,0.88834,0.47751,1.62833,1.17373,1.34293,0.004456,0.004456,0.004456
142,1345.55,0.93569,0.67462,0.99021,0.90861,0.76491,0.84932,0.43596,1.6944,1.22861,1.42842,0.0044164,0.0044164,0.0044164
143,1354.96,0.92016,0.67113,1.02689,0.81288,0.82051,0.83554,0.41536,1.75798,1.38142,1.46823,0.0043768,0.0043768,0.0043768
144,1364.37,0.91919,0.70689,1.00816,0.87784,0.73719,0.8422,0.43312,1.72868,1.31006,1.41313,0.0043372,0.0043372,0.0043372
145,1373.76,0.89693,0.67543,1.01568,0.82752,0.73826,0.80868,0.4429,1.68385,1.25683,1.38422,0.0042976,0.0042976,0.0042976
146,1383.2,0.9688,0.70489,1.03321,0.78825,0.76372,0.80064,0.42931,1.6479,1.27081,1.37216,0.004258,0.004258,0.004258
147,1392.56,0.86352,0.66229,0.9736,0.77396,0.74359,0.77588,0.43045,1.59091,1.2351,1.32529,0.0042184,0.0042184,0.0042184
148,1402.02,0.98905,0.72833,1.03587,0.80434,0.73799,0.80846,0.44459,1.61032,1.25787,1.34502,0.0041788,0.0041788,0.0041788
149,1411.43,0.97731,0.72995,1.02847,0.93079,0.68981,0.82202,0.43296,1.70231,1.20246,1.40984,0.0041392,0.0041392,0.0041392
150,1420.88,0.88056,0.6589,0.99542,0.95489,0.71795,0.89602,0.48887,1.58247,1.07652,1.35078,0.0040996,0.0040996,0.0040996
151,1430.23,0.85335,0.66581,0.9885,0.99034,0.76923,0.87341,0.4845,1.5516,1.09246,1.35669,0.00406,0.00406,0.00406
152,1439.61,0.89063,0.65385,1.0199,0.87854,0.74188,0.82312,0.45192,1.69604,1.22768,1.45727,0.0040204,0.0040204,0.0040204
153,1449.02,0.8964,0.65949,1.00064,0.96416,0.68983,0.83165,0.48294,1.59347,1.18504,1.39599,0.0039808,0.0039808,0.0039808
154,1458.45,0.87734,0.64926,1.01442,0.96111,0.63387,0.80878,0.44108,1.67898,1.38846,1.43426,0.0039412,0.0039412,0.0039412
155,1467.86,0.90592,0.6634,0.99648,0.86064,0.66667,0.79213,0.46453,1.55638,1.39344,1.37564,0.0039016,0.0039016,0.0039016
156,1477.27,0.90739,0.66273,0.9941,0.87038,0.71795,0.79589,0.46875,1.54796,1.42034,1.37924,0.003862,0.003862,0.003862
157,1486.67,0.8522,0.66564,0.98002,0.84758,0.71307,0.79212,0.44047,1.63672,1.53742,1.45082,0.0038224,0.0038224,0.0038224
158,1496.08,0.88564,0.63096,1.00497,0.87716,0.7326,0.81885,0.45682,1.56834,1.53477,1.43464,0.0037828,0.0037828,0.0037828
159,1505.46,0.85757,0.63533,0.96764,0.84649,0.71795,0.7603,0.41349,1.67518,1.57593,1.49588,0.0037432,0.0037432,0.0037432
160,1514.88,0.88859,0.65281,0.99927,0.82568,0.72887,0.80684,0.45132,1.58919,1.48894,1.42944,0.0037036,0.0037036,0.0037036
161,1524.3,0.85168,0.65481,0.99823,0.83675,0.65733,0.79705,0.47197,1.50053,1.45993,1.38237,0.003664,0.003664,0.003664
162,1533.67,0.89914,0.65929,1.0019,0.88551,0.66667,0.81134,0.45707,1.58566,1.38936,1.40195,0.0036244,0.0036244,0.0036244
163,1543.09,0.89188,0.65867,0.98386,0.72219,0.73335,0.76806,0.41126,1.69284,1.47414,1.42917,0.0035848,0.0035848,0.0035848
164,1552.5,0.85736,0.63543,0.99121,0.64371,0.74124,0.72126,0.38214,1.69055,1.47866,1.42514,0.0035452,0.0035452,0.0035452
165,1561.89,0.85349,0.63683,0.9987,0.73868,0.58974,0.69735,0.37364,1.63759,1.44368,1.39399,0.0035056,0.0035056,0.0035056
166,1571.32,0.86202,0.62512,0.99073,0.74611,0.603,0.72852,0.39264,1.64821,1.38876,1.41834,0.003466,0.003466,0.003466
167,1580.7,0.85062,0.63281,0.95885,0.76416,0.66471,0.71679,0.38337,1.63997,1.35347,1.40821,0.0034264,0.0034264,0.0034264
168,1590.11,0.79714,0.60799,0.94663,0.71914,0.84615,0.8366,0.44876,1.6362,1.20617,1.43811,0.0033868,0.0033868,0.0033868
169,1599.49,0.92172,0.66827,1.03582,0.77271,0.79487,0.84756,0.45906,1.64386,1.22967,1.43753,0.0033472,0.0033472,0.0033472
170,1608.9,0.85989,0.63013,0.99246,0.78243,0.73782,0.81164,0.45201,1.59425,1.20508,1.40915,0.0033076,0.0033076,0.0033076
171,1618.29,0.85303,0.65144,1.00534,0.7988,0.71271,0.77808,0.43012,1.61317,1.23995,1.426,0.003268,0.003268,0.003268
172,1627.67,0.85848,0.62848,0.96736,0.80822,0.69231,0.76366,0.42742,1.62203,1.23427,1.41787,0.0032284,0.0032284,0.0032284
173,1637.09,0.79737,0.58544,0.95842,0.70101,0.76923,0.71464,0.39972,1.62784,1.25425,1.42488,0.0031888,0.0031888,0.0031888
174,1646.5,0.80509,0.60868,0.94944,0.89775,0.71795,0.85218,0.47394,1.68432,1.26087,1.46065,0.0031492,0.0031492,0.0031492
